dmf_no,dmf_submit_date,dmf_holder,dmf_subject,year,month
23247,5-Nov-09,MALLADI DRUGS AND PHARMACEUTICALS LTD,LORAZEPAM,2009,11
23249,9-Nov-09,CHINOIN PHARMACEUTICAL AND CHEMICAL WORKS PRIVATE CO LTD,MISOPROSTOL ,2009,11
23250,5-Nov-09,MOEHS IBERICA SL,FENOFIBRATE ,2009,11
23251,4-Nov-09,RA CHEM PHARMA LTD,LAMOTRIGINE USP,2009,11
23252,2-Dec-09,ACOM CORP,SODIUM [124I] IODIDE,2009,12
23254,5-Nov-09,UNIMARK REMEDIES LTD,LANTHANUM CARBONATE OCTAHYDRATE ,2009,11
23255,11-Nov-09,MSN LABORATORIES PRIVATE LTD,BOSENTAN MONOHYDRATE [ROUTE CODE - 'BN'],2009,11
23262,28-Oct-09,ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD,LAMOTRIGINE USP,2009,10
23265,10-Nov-09,ACTAVIS GROUP PTC EHF,RIVASTIGMINE HYDROGEN TARTRATE (NON-STERILE BULK DRUG SUBSTANCE),2009,11
23267,13-Nov-09,FORMOSA LABORATORIES INC,CALCIPOTRIOL MONOHYDRATE,2009,11
23268,13-Nov-09,OLON SPA,CHOLINE FENOFIBRATE ,2009,11
23269,12-Nov-09,PAR A TECHNOLOGIES PRIVATE LTD,DARIFENACIN HYDROBROMIDE (NON STERILE BULK DRUG SUBSTANCE),2009,11
23271,4-Nov-09,SHANGHAI DESANO CHEMICAL PHARMACEUTICAL CO LTD,EFAVIRENZ USP,2009,11
23273,27-Oct-09,SHOUGUANG FUKANG PHARMACEUTICAL CO LTD,METFORMIN HYDROCHLORIDE,2009,10
23274,17-Nov-09,HETERO DRUGS LTD,EPROSARTAN MESYLATE,2009,11
23276,24-Nov-09,SUZHOU HOMESUN WANQING PHARMACEUTICAL CO LTD,MEROPENEM FOR INJECTION STERILE BULK,2009,11
23278,16-Nov-09,BIOCON LTD,PIOGLITAZONE HYDROCHLORIDE USP,2009,11
23280,16-Nov-09,HIKMA PHARMACEUTICALS,NICARDIPINE HYDROCHLORIDE,2009,11
23281,19-Nov-09,HARMAN FINOCHEM LTD,FENOFIBRATE USP ,2009,11
23283,9-Apr-10,IPCA LABORATORIES LTD,HYDROXYZINE HYDROCHLORIDE USP,2010,4
23284,9-Dec-09,TARO PHARMACEUTICAL INDUSTRIES LTD,MEPROBAMATE USP,2009,12
23287,20-Nov-09,FRESENIUS KABI IPSUM SRL,AMPICILLIN SODIUM STERILE,2009,11
23288,20-Nov-09,MYLAN API US LLC,DISULFIRAM USP,2009,11
23289,20-Nov-09,RAKS PHARMA PVT LTD,WARFARIN SODIUM CLATHRATE USP,2009,11
23291,15-Dec-09,SUN PHARMACEUTICAL INDUSTRIES LTD, QUETIAPINE FUMARATE USP,2009,12
23292,24-Dec-09,ORCHID PHARMA LTD,QUETIAPINE FUMARATE (NON STERILE BULK API),2009,12
23293,28-Dec-09,ORCHID PHARMA LTD,SODIUM CARBONATE (STERILE),2009,12
23294,24-Dec-09,ORCHID PHARMA LTD,CEFTAZIDIME (STERILE),2009,12
23295,29-Dec-09,ORCHID PHARMA LTD,CEFTAZIDIME + SODIUM CARBONATE (STERILE BULK),2009,12
23300,18-Nov-09,ALEMBIC PHARMACEUTICALS LTD,ARIPIPRAZOLE USP,2009,11
23301,4-Nov-09,JIANGSU ZW PHARMACEUTICALS CO LTD,4-(TRIFLUOROMETHOXY) ANILINE,2009,11
23308,10-Jul-10,STAVO INDUSTRIES INC,PHARMACEUTICAL GRADE DEPTH  FILTERS,2010,7
23310,10-Dec-09,USV PRIVATE LTD,ACITRETIN USP,2009,12
23312,25-Nov-09,TEVA PHARMACEUTICAL INDUSTRIES LTD,CARVEDILOL PHOSPHATE,2009,11
23314,27-Nov-09,ZAKLADY FARMACEUTYCZNE POLPHARMA SA,ARIPIPRAZOLE ,2009,11
23319,1-Nov-09,CHEMPACIFIC CORP,BGP32269,2009,11
23322,30-Nov-09,MYLAN LABORATORIES LTD,VALGANCICLOVIR HYDROCHLORIDE USP (CRYSTALLINE),2009,11
23324,1-Dec-09,YMC CO LTD,BIOPRO,2009,12
23325,1-Dec-09,NORAMCO GMBH,NALTREXONE HYDROCHLORIDE DRUG SUBSTANCE,2009,12
23326,1-Dec-09,APOTEX PHARMACHEM INC,ANASTROZOLE USP,2009,12
23329,30-Nov-09,EXCELLA GMBH AND CO KG,AZATHIOPRINE,2009,11
23332,3-Dec-09,TEVA PHARMACEUTICAL INDUSTRIES LTD,PALONOSETRON HYDROCHLORIDE ,2009,12
23333,6-Apr-10,LUPIN LTD,COLESEVELAM HYDROCHLORIDE ,2010,4
23335,2-Dec-09,LONZA AG,VOCLOSPORIN (IE-001) ,2009,12
23336,4-Dec-09,AIRGAS USA LLC,80PPM NITROGEN DIOXIDE BALANCE OXYGEN,2009,12
23337,4-Dec-09,AIRGAS USA LLC,80PPM NITROGEN DIOXIDE BALANCE AIR,2009,12
23338,20-Feb-10,UNIMARK REMEDIES LTD,PALIPERIDONE,2010,2
23339,4-Dec-09,EMCURE PHARMACEUTICALS LTD,GEMCITABINE HYDROCHLORIDE USP,2009,12
23341,28-Nov-09,SHANDONG ANHONG PHARMACEUTICAL CO LTD,PEMETREXED DISODIUM,2009,11
23343,30-Nov-09,ZHEJIANG JIUZHOU PHARMACEUTICAL CO LTD,IMATINIB MESYLATE,2009,11
23347,7-Dec-09,SIGNA SA DE CV,IRBESARTAN USP,2009,12
23349,30-Nov-09,UNIMARK REMEDIES LTD,TOPIRAMATE USP (PROCESS A) ,2009,11
23350,8-Dec-09,GADOR SA,SODIUM IBANDRONATE,2009,12
23351,30-Nov-09,ALEMBIC PHARMACEUTICALS LTD,QUETIAPINE FUMARATE USP,2009,11
23353,30-Nov-09,CTX LIFE SCIENCES PVT LTD,OXCARBAZEPINE (ROUTE-I),2009,11
23354,4-Dec-09,MYLAN LABORATORIES LTD,BOSENTAN,2009,12
23358,4-Dec-09,NORTH CHINA PHARMACEUTICAL HUASHENG CO LTD,BACITRACIN ZINC NON-STERILE BULK DRUG SUBSTANCE,2009,12
23359,7-Dec-09,JOST CHEMICAL CO,POTASSIUM NITRATE ,2009,12
23365,8-Dec-09,BIOCON LTD,TACROLIMUS (PRODUCT CODE 8000255),2009,12
23366,5-Mar-10,TARO PHARMACEUTICAL INDUSTRIES LTD,MALATHION USP,2010,3
23367,14-Dec-09,MYLAN LABORATORIES LTD,PALIPERIDONE USP,2009,12
23369,6-Jan-10,BASF AS,OMEGA-3 ACID ETHYL ESTERS 90,2010,1
23372,15-Dec-09,SRI KRISHNA PHARMACEUTICALS LTD,MECLIZINE HYDROCHLORIDE USP,2009,12
23373,23-Nov-09,COVALENT LABORATORIES PRIVATE LTD,7-AMINO-3-VINYL-3-CEPHEM-4-CARBOXYLIC ACID (7-AVNA) ,2009,11
23374,16-Dec-09,GADOR SA,ZOLEDRONIC ACID,2009,12
23375,8-Dec-09,SCORA,GRANULAR CALCIUM CARBONATE (SCORALITE DC AND SCORALITE LOW LEAD DC),2009,12
23376,15-Dec-09,SANOFI CHIMIE,RPR106721 - POMA (INTERMEDIATE),2009,12
23378,16-Dec-09,SOLARA A PHARMA SCIENCES LTD,COLESEVELAM HYDROCHLORIDE,2009,12
23379,16-Dec-09,HETERO DRUGS LTD,ESOMEPRAZOLE MAGNESIUM DIHYDRATE ,2009,12
23380,16-Dec-09,DIPHARMA FRANCIS SRL,DEXLANSOPRAZOLE,2009,12
23381,17-Dec-09,PAR A TECHNOLOGIES PRIVATE LTD,ROSIGLITAZONE MALEATE (NON-STERILE BULK DRUG SUBSTANCE),2009,12
23382,17-Dec-09,PAR A TECHNOLOGIES PRIVATE LTD,LEVOFLOXACIN HEMIHYDRATE (NON-STERILE BULK DRUG SUBSTANCE),2009,12
23383,17-Dec-09,EVERLIGHT CHEMICAL INDUSTRIAL CORP,LUBIPROSTONE ,2009,12
23387,18-Dec-09,SCINOPHARM TAIWAN LTD,DECITABINE,2009,12
23389,22-Feb-10,SUN PHARMACEUTICAL INDUSTRIES LTD,NALOXONE HYDROCHLORIDE DIHYDRATE USP,2010,2
23390,18-Dec-09,EUTICALS INC,CHOLINE FENOFIBRATE,2009,12
23396,22-Dec-09,SRI KRISHNA PHARMACEUTICALS LTD,FUROSEMIDE USP,2009,12
23397,12-Jan-10,LUPIN LTD,DROSPIRENONE USP,2010,1
23398,12-Mar-10,LUPIN LTD,IRBESARTAN USP (PROCESS B),2010,3
23399,21-Dec-09,FINE CHEMICALS CORP PTY LTD,FCC-7280,2009,12
23400,15-Dec-09,SYN-TECH CHEM AND PHARM CO LTD,RABEPRAZOLE SODIUM,2009,12
23401,23-Dec-09,PAR A TECHNOLOGIES PRIVATE LTD,RANOLAZINE (NON-STERILE BULK DRUG SUBSTANCE),2009,12
23406,16-Dec-09,CENWAY PHARMACEUTICALS CO LTD,DOCETAXEL,2009,12
23408,23-Dec-09,THE SUZUKI MENTHOL CO LTD,L-MENTHOL USP/JP,2009,12
23410,29-Dec-09,MYLAN LABORATORIES LTD,LENALIDOMIDE,2009,12
23414,29-Dec-09,TEVA PHARMACEUTICAL INDUSTRIES LTD,SUNITINIB MALATE,2009,12
23416,22-Dec-09,CHEMWERTH INC,AZACITIDINE,2009,12
23417,28-Dec-09,CHEMWERTH INC,PEMETREXED DISODIUM  ,2009,12
23418,31-Dec-09,ACS DOBFAR SPA,AMPA,2009,12
23419,30-Jun-10,CHATTEM CHEMICALS INC,"OXYCODONE HYDROCHLORIDE, USP",2010,6
23423,28-Dec-09,SCINOPHARM TAIWAN LTD,TRAVOPROST USP,2009,12
23425,29-Dec-09,SOUTHWEST SYNTHETIC PHARMACEUTICAL CORP LTD,SIMVASTATIN USP,2009,12
23426,31-Dec-09,ALEMBIC PHARMACEUTICALS LTD,DONEPEZIL HYDROCHLORIDE MONOHYDRATE USP,2009,12
23427,5-Jan-10,INDUSTRIALE CHIMICA SRL,FLUTICASONE PROPIONATE USP,2010,1
23428,5-Jan-10,INDUSTRIALE CHIMICA SRL,DIENOGEST ,2010,1
23431,6-Jan-10,MYLAN LABORATORIES LTD,LAMIVUDINE USP (LVD) ,2010,1
23434,6-Jan-10,CHUNGHWA CHEMICAL SYNTHESIS AND BIOTECH CO LTD,METAXALONE USP,2010,1
23436,31-Dec-09,AUROBINDO PHARMA LTD,CLINDAMYCIN PALMITATE HYDROCHLORIDE USP (NON-STERILE DRUG SUBSTANCE),2009,12
23437,4-Jan-10,CERBIOS PHARMA SA,CALCIUM LEVOFOLINATE ,2010,1
23438,31-Dec-09,NECTAR LIFESCIENCES LTD,7-AMINO-3-VINYL-3-CEPHEM-4-CARBOXYLIC ACID (7-AVCA) [NON-STERILE DRUG SUBSTANCE INTERMEDIATE],2009,12
23441,12-Jan-10,MYLAN LABORATORIES LTD,VARENICLINE TARTRATE ,2010,1
23442,8-Jan-10,MSN PHARMACHEM PRIVATE LTD,"SUMATRIPTAN USP [ROUTE CODE - ""SN""] ",2010,1
23443,11-Jan-10,EMCURE PHARMACEUTICALS LTD,TOPOTECAN HYDROCHLORIDE,2010,1
23448,26-May-10,JUBILANT GENERICS LTD,ESOMEPRAZOLE MAGNESIUM (AMORPHOUS) USP,2010,5
23449,11-Jan-10,MACLEODS PHARMACEUTICALS LTD,IRBESARTAN,2010,1
23453,11-Jan-10,PARABOLIC DRUGS LTD,CEFUROXIME AXETIL CRYSTALLINE ( PROCESS-II ),2010,1
23455,14-Jan-10,AMINO CHEMICALS LTD,BOSENTAN MONOHYDRATE,2010,1
23456,3-Aug-10,SHANGHAI ZIYUAN PHARMACEUTICAL CO LTD,NAFTIFINE HYDROCHLORIDE,2010,8
23459,15-Jan-10,EMCURE PHARMACEUTICALS LTD,SEVELAMER CARBONATE (FOR POWDER FORMULATION),2010,1
23460,18-Jan-10,DR REDDYS LABORATORIES LTD,RASAGILINE MESYLATE ,2010,1
23461,15-Jan-10,CYALUME SPECIALTY PRODUCTS INC,CHLORPHENIRAMINE TANNATE,2010,1
23464,14-Jan-10,OLON SPA,CHOLINE FENOFIBRATE,2010,1
23466,20-Jan-10,MSN LABORATORIES PRIVATE LTD,EPLERENONE [ROUTE CODE: PL],2010,1
23472,21-Jan-10,DR REDDYS LABORATORIES LTD,TELMISARTAN (PROCESS-II) USP,2010,1
23474,18-Jan-10,PARABOLIC DRUGS LTD,CEFIXIME ,2010,1
23477,18-Jan-10,CAMBREX PROFARMACO MILANO SRL,SODIUM PICOSULFATE ,2010,1
23478,22-Jan-10,CYALUME SPECIALTY PRODUCTS INC,DEXTROMETHORPHAN TANNATE,2010,1
23479,22-Jan-10,SHILPA MEDICARE LTD,TEMOZOLOMIDE USP,2010,1
23480,26-Jan-10,INDUSTRIALE CHIMICA SRL,BIMATOPROST ,2010,1
23482,26-Jan-10,CYALUME SPECIALTY PRODUCTS INC,PSEUDOEPHEDRINE TANNATE,2010,1
23485,7-Feb-10,BGP HEALTHCARE PRIVATE LTD,NICOTINE USP,2010,2
23488,27-Jan-10,MSN LABORATORIES PRIVATE LTD,PITAVASTATIN CALCIUM [ROUTE CODE: PC],2010,1
23491,22-Jan-10,ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD,VALSARTAN USP (PROCESS II) ,2010,1
23495,29-Jan-10,APOTEX PHARMACHEM INC,MONTELUKAST SODIUM USP ,2010,1
23496,29-Jan-10,SANOFI CHIMIE,CABAZITAXEL ACETONE SOLVATE,2010,1
23500,16-Feb-10,UNIMARK REMEDIES LTD,NITROFURANTOIN ANHYDROUS USP,2010,2
23501,16-Feb-10,UNIMARK REMEDIES LTD,NITROFURANTOIN MONOHYDRATE USP,2010,2
23502,6-May-10,TARO PHARMACEUTICAL INDUSTRIES LTD,MOMETASONE FUROATE USP/PH EUR MICRONIZED,2010,5
23503,22-Jan-10,CALYX CHEMICALS AND PHARMACEUTICALS LTD,FLUCYTOSINE,2010,1
23506,2-Feb-10,TEVA PHARMACEUTICAL INDUSTRIES LTD,PACLITAXEL SEMISYNTHETIC,2010,2
23509,2-Feb-10,RAKS PHARMA PVT LTD,SILDENAFIL CITRATE USP,2010,2
23510,21-Apr-10,BASF AS,OMEGA-3 ACID ETHYL ESTERS 78,2010,4
23511,22-Jan-10,SUPRIYA LIFESCIENCE LTD,BROMPHENIRAMINE MALEATE,2010,1
23512,22-Jan-10,SUPRIYA LIFESCIENCE LTD,PHENIRAMINE MALEATE ,2010,1
23513,18-Feb-10,USV PRIVATE LTD,ATOVAQUONE USP (FORM III),2010,2
23519,8-Feb-10,BIOCON LTD,MYCOPHENOLATE SODIUM,2010,2
23520,4-Feb-10,SIEGFRIED USA LLC,OXYCODONE HYDROCHLORIDE USP ,2010,2
23521,5-Feb-10,DERIVADOS QUIMICOS SAU,CYCLOBENZAPRINE HYDROCHLORIDE,2010,2
23522,10-Jan-10,HUBEI HAOSUN PHARMACEUTICAL CO LTD,IRINOTECAN HYDROCHLORIDE,2010,1
23523,12-Feb-10,NATCO PHARMA LTD,LANSOPRAZOLE,2010,2
23524,11-Feb-10,SHENZHEN HAIBIN PHARMACEUTICAL CO LTD,MEROPENEM STERILE,2010,2
23525,3-Feb-10,AUROBINDO PHARMA LTD,OLANZAPINE USP (NON-STERILE DRUG SUBSTANCE),2010,2
23528,11-Feb-10,OLAINFARM JSC,AMANTADINE HYDROCHLORIDE,2010,2
23530,8-Feb-10,QILU PHARMACEUTICAL CO LTD,OXALIPLATIN USP (NON-STERILE API),2010,2
23532,29-Jan-10,FERMION OY,METHOTREXATE DISODIUM,2010,1
23533,16-Feb-10,MSN LABORATORIES PRIVATE LTD,"DUTASTERIDE USP [ROUTE CODE - ""DT""]",2010,2
23537,4-Feb-10,SCI PHARMTECH INC,PROPAFENONE HYDROCHLORIDE,2010,2
23539,13-Feb-10,LAURUS LABS LTD,LATANOPROST USP,2010,2
23540,19-Feb-10,TEVA PHARMACEUTICAL INDUSTRIES LTD,FENOFIBRATE CHOLINE,2010,2
23541,7-Apr-10,LUPIN LTD,EZETIMIBE,2010,4
23542,31-Mar-10,LUPIN LTD,RITONAVIR USP ,2010,3
23543,8-Apr-10,LUPIN LTD,CELECOXIB USP,2010,4
23544,15-Apr-10,LUPIN LTD,CEFDITOREN PIVOXIL,2010,4
23547,17-Feb-10,CHEMWERTH INC,TEMOZOLOMIDE (NON-STERILE BULK DRUG SUBSTANCE),2010,2
23552,8-Apr-10,LUPIN LTD,GATIFLOXACIN,2010,4
23553,8-Mar-10,SUN PHARMACEUTICAL INDUSTRIES LTD,TEMOZOLOMIDE USP,2010,3
23554,21-Feb-10,WAVELENGTH ENTERPRISES LTD,CISATRACURIUM BESYLATE,2010,2
23556,9-Mar-10,USV PRIVATE LTD,ATOVAQUONE USP (FORM I),2010,3
23559,12-Feb-10,ARKEMA INC,LUPEROX A75FP,2010,2
23561,22-Feb-10,SOLARA A PHARMA SCIENCES LTD,LUMEFANTRINE,2010,2
23562,23-Feb-10,SHILPA MEDICARE LTD,IRINOTECAN HYDROCHLORIDE TRIHYDRATE USP,2010,2
23563,23-Feb-10,SHILPA MEDICARE LTD,OXALIPLATIN USP,2010,2
23564,23-Feb-10,DR REDDYS LABORATORIES LTD,AZACITIDINE,2010,2
23566,3-Mar-10,ARCH PHARMALABS LTD,CITALOPRAM HYDROBROMIDE USP (CYANO ROUTE),2010,3
23567,22-Feb-10,HIKAL LTD,MEMANTINE HYDROCHLORIDE USP,2010,2
23570,12-Mar-10,UNIMARK REMEDIES LTD,NITROFURANTOIN ANHYDROUS CRYSTALS USP,2010,3
23572,23-Feb-10,PARABOLIC DRUGS LTD,CEFPODOXIME PROXETIL,2010,2
23580,16-Aug-10,SUN PHARMACEUTICAL INDUSTRIES LTD,DROSPIRENONE USP,2010,8
23581,28-May-10,SUN PHARMACEUTICAL INDUSTRIES LTD,RIZATRIPTAN BENZOATE USP,2010,5
23582,25-Mar-10,ALKALOIDA CHEMICAL CO ZRT,HYDROXYCHLOROQUINE SULFATE USP,2010,3
23583,4-Mar-10,JOHNSON MATTHEY INC PHARMACEUTICAL MATERIALS GROUP,DEXTROAMPHETAMINE SULFATE USP ,2010,3
23584,24-Feb-10,ALEMBIC PHARMACEUTICALS LTD,VALSARTAN USP (PROCESS II),2010,2
23589,30-Jul-10,IPCA LABORATORIES LTD,AMLODIPINE BESYLATE USP,2010,7
23590,1-Mar-10,DR REDDYS LABORATORIES LTD,PALONOSETRON HYDROCHLORIDE USP,2010,3
23591,1-Mar-10,DR REDDYS LABORATORIES LTD,RITONAVIR USP,2010,3
23595,1-Mar-10,FERMION OY,TAMSULOSIN HYDROCHLORIDE ,2010,3
23596,3-Mar-10,DR REDDYS LABORATORIES LTD,DECITABINE,2010,3
23597,23-Feb-10,ZHEJIANG SUPOR PHARMACEUTICALS CO LTD,OLANZAPINE ,2010,2
23598,23-Feb-10,ZHEJIANG SUPOR PHARMACEUTICALS CO LTD,RIZATRIPTAN BENZOATE,2010,2
23599,2-Mar-10,MSN LABORATORIES PRIVATE LTD,TERTIARY BUTYL AMINE SALT OF ROSUVASTATIN [ROUTE CODE - ROC1],2010,3
23600,3-Mar-10,SANOFI AVENTIS DEUTSCHLAND GMBH,KETOPROFEN ,2010,3
23601,26-Feb-10,AUROBINDO PHARMA LTD,LAMIVUDINE USP (CRYSTALLINE POLYMORPH FORM I),2010,2
23603,22-Mar-10,TORRENT PHARMACEUTICALS LTD,ALFUZOSIN HYDROCHLORIDE USP,2010,3
23604,29-Apr-10,SPECGX LLC,NALBUPHINE HYDROCHLORIDE (1P),2010,4
23611,12-Apr-10,LUPIN LTD,ATAZANAVIR SULFATE,2010,4
23612,30-Mar-11,LUPIN LTD,NORGESTREL USP,2011,3
23614,11-Mar-10,SHANDONG RUIYING PIONEER PHARMACEUTICAL CO LTD,PIPERACILLIN ,2010,3
23615,9-Mar-10,MERCK KGAA,POTASSIUM IODIDE,2010,3
23616,8-Mar-10,CKD BIO CORP,RIFAMYCIN SODIUM NON-STERILE BULK,2010,3
23618,8-Apr-10,LUPIN LTD,ABACAVIR SULFATE USP,2010,4
23619,12-Apr-10,LUPIN LTD,DESOGESTREL,2010,4
23620,11-Mar-10,MACLEODS PHARMACEUTICALS LTD,QUETIAPINE FUMARATE,2010,3
23621,10-Mar-10,DR REDDYS LABORATORIES LTD,RANOLAZINE,2010,3
23622,2-Mar-10,ZHEJIANG GOLDEN-SHELL PHARMACEUTICAL CO LTD,GLUCOSAMINE HYDROCHLORIDE,2010,3
23623,2-Mar-10,ZHEJIANG GOLDEN-SHELL PHARMACEUTICAL CO LTD,GLUCOSAMINE SULFATE POTASSIUM CHLORIDE,2010,3
23624,10-Mar-10,DIVIS LABORATORIES LTD,SUMATRIPTAN SUCCINATE AND SUMATRIPTAN,2010,3
23625,16-Mar-10,HARMAN FINOCHEM LTD,OXICONAZOLE NITRATE,2010,3
23627,29-Mar-10,JUBILANT GENERICS LTD,ZOLMITRIPTAN ,2010,3
23628,26-May-10,JUBILANT GENERICS LTD,ESOMEPRAZOLE SODIUM,2010,5
23629,31-Mar-10,ORCHID PHARMA LTD,TOLTERODINE TARTRATE (NON-STERILE BULK API),2010,3
23630,11-Mar-10,CENTAUR PHARMACEUTICALS PVT LTD,TIMOLOL MALEATE USP ,2010,3
23631,26-Apr-10,MYLAN API US LLC,BEXAROTENE,2010,4
23632,21-May-10,ARCH PHARMALABS LTD,AMLODIPINE BESYLATE USP,2010,5
23633,31-Mar-10,ARCH PHARMALABS LTD,GEMCITABINE HYDROCHLORIDE USP,2010,3
23637,17-Mar-10,RAKS PHARMA PVT LTD,SALSALATE USP ,2010,3
23638,18-Mar-10,HOVIONE FARMACIENCIA SA,DOXYCYCLINE MONOHYDRATE MICRONIZED,2010,3
23639,30-Mar-10,ORCHID PHARMA LTD,LEVOFLOXACIN (NON-STRILE BULK API),2010,3
23640,17-Mar-10,ORGAPHARM SAS,ETHIONAMIDE DRUG SUBSTANCE,2010,3
23644,19-Mar-10,SIGNA SA DE CV,ABACAVIR SULFATE USP,2010,3
23645,15-Mar-10,AVANTI POLAR LIPIDS INC,"1,2-DIOLEOYL-SN-GLYCERO-3-PHOSPHOCHOLINE (DOPC) ",2010,3
23650,23-Mar-10,AARTI INDUSTRIES LTD,CICLESONIDE,2010,3
23652,24-Mar-10,INDUSTRIALE CHIMICA SRL,DESOGESTREL CN,2010,3
23653,15-Mar-10,YONSUNG FINE CHEMICALS CO LTD,BROENAC SODIUM SESQUIHYDRATE,2010,3
23655,22-Mar-10,DR REDDYS LABORATORIES LTD,DEXLANSOPRAZOLE (CRYSTALLINE) ,2010,3
23656,23-Mar-10,DR REDDYS LABORATORIES LTD,BIVALIRUDIN,2010,3
23659,30-Mar-10,CHONGQING HUAPONT PHARMACEUTICAL CO LTD,LEVOCETIRIZINE HCL ,2010,3
23660,16-Mar-11,CIPLA LTD,DARUNAVIR,2011,3
23661,6-Jul-10,CIPLA LTD,DARUNAVIR HYDRATE,2010,7
23662,15-Jun-10,CIPLA LTD,DARUNAVIR ETHANOLATE,2010,6
23663,21-May-10,CIPLA LTD,ENTECAVIR MONOHYDRATE USP,2010,5
23664,30-Mar-10,DR REDDYS LABORATORIES LTD,"ATORVASTATIN CALCIUM TRIHYDRATE (FORM I), USP",2010,3
23668,31-Mar-10,MACLEODS PHARMACEUTICALS LTD,PIOGLITAZONE HYDROCHLORIDE,2010,3
23670,31-Mar-10,NOF CORP,DIMYRISTOYL PHOSPHATIDYLCHOLINE (DMPC),2010,3
23671,4-Jun-10,DR REDDYS LABORATORIES LTD,TESTOSTERONE,2010,6
23672,1-Apr-10,INDUSTRIALE CHIMICA SRL,LOTEPREDNOL ETABONATE,2010,4
23673,2-Apr-10,EMCURE PHARMACEUTICALS LTD,PROTRIPTYLINE HYDROCHLORIDE USP ,2010,4
23676,2-Apr-10,POLYPEPTIDE LABORATORIES SWEDEN AB,DESMOPRESSIN ACETATE DRUG SUBSTANCE ,2010,4
23679,26-Apr-10,ALKEM LABORATORIES LTD,RASAGILINE MESYLATE,2010,4
23680,21-Mar-10,AMOLI ORGANICS PVT LTD,DICLOFENAC DIETHYLAMINE ,2010,3
23681,31-Mar-10,RHODES TECHNOLOGIES,"HYDROCODONE BITARTRATE, USP",2010,3
23683,5-Apr-10,NORAMCO LLC,BUPRENORPHINE HYDROCHLORIDE (R036869) DRUG SUBSTANCE,2010,4
23684,5-Apr-10,NORAMCO LLC,BUPRENORPHINE BASE (R371605) DRUG SUBSTANCE,2010,4
23685,6-Apr-10,MYLAN LABORATORIES LTD,CAPECITABINE USP,2010,4
23686,3-Apr-10,CSPC WEISHENG PHARMACEUTICAL SHIJIAZHUANG CO LTD,SODIUM ASCORBATE,2010,4
23687,7-May-10,ORCHID PHARMA LTD,RASAGILINE MESYLATE (NON STERILE BULK API),2010,5
23688,5-Apr-10,CADILA HEALTHCARE LTD,ETODOLAC USP,2010,4
23690,7-Apr-10,MSN LABORATORIES PRIVATE LTD,OLMESARTAN MEDOXOMIL USP [ROUTE CODE OX],2010,4
23691,6-Apr-10,CYALUME SPECIALTY PRODUCTS INC,DICHLORALPHENAZONE USP ,2010,4
23693,5-Apr-10,CADILA HEALTHCARE LTD,CANDESARTAN CILEXETIL USP,2010,4
23696,31-Mar-10,PARABOLIC DRUGS LTD,CEFUROXIME AXETIL (AMORPHOUS) PROCESS II USP,2010,3
23697,7-Apr-10,NEULAND LABORATORIES LTD,VORICONAZOLE USP,2010,4
23699,7-Apr-10,FRESENIUS KABI IPSUM SRL,AMPICILLIN TRIHYDRATE STERILE,2010,4
23702,9-Apr-10,ALEMBIC PHARMACEUTICALS LTD,DULOXETINE HYDROCHLORIDE USP,2010,4
23704,12-Apr-10,EUTICALS SPA,BROENAC SODIUM,2010,4
23705,9-Apr-10,MACLEODS PHARMACEUTICALS LTD,SILDENAFIL CITRATE USP,2010,4
23708,12-Apr-10,TEVA PHARMACEUTICAL INDUSTRIES LTD,VARENICLINE TARTRATE (AS HPC SOLID SOLUTION) DRUG PRODUCT INTERMEDIATE,2010,4
23710,13-Apr-10,SOLARA A PHARMA SCIENCES LTD,LABETALOL HYDROCHLORIDE,2010,4
23711,6-Apr-10,NIPPON RIKA CO LTD,5-AMINOLEVULINIC ACID HYDROCHLORIDE DRUG SUBSTANCE,2010,4
23715,13-Apr-10,JM HUBER CORP,CALCIUM CARBONATE GRANULATION WITH MALTODEXTRIN,2010,4
23716,13-Apr-10,JM HUBER CORP,CALCIUM CARBONATE GRANULATION WITH ACACIA GUM AND MALTODEXTRIN,2010,4
23717,13-Apr-10,JM HUBER CORP,CALCIUM CARBONATE GRANULATION WITH ACACIA GUM,2010,4
23718,13-Apr-10,JM HUBER CORP,CALCIUM CARBONATE GRANULATION WITH STARCH,2010,4
23719,4-Jun-10,ARCH PHARMALABS LTD,BENZTROPINE MESYLATE USP,2010,6
23721,16-Apr-10,TRIFARMA SPA,"GANCICLOVIR, USP",2010,4
23722,19-Apr-10,MSN LABORATORIES PRIVATE LTD,"DEXLANSOPRAZOLE ANHYDROUS [ROUTE CODE - ""DZ""]",2010,4
23727,5-Jan-10,SICHUAN NEIJIANG HUIXIN PHARMACEUTICAL CO LTD,VITAMIN D2 (ERGOCALCIFEROL),2010,1
23728,19-Apr-10,MEDICHEM SA,MED-201890/E ,2010,4
23735,21-Apr-10,FORMOSA LABORATORIES INC,CALCIUM ACETATE USP,2010,4
23736,16-Apr-10,LAURUS LABS LTD,MONTELUKAST SODIUM USP,2010,4
23737,26-Apr-10,MYLAN API US LLC,AZATHIOPRINE USP,2010,4
23738,17-Apr-10,MACLEODS PHARMACEUTICALS LTD,RISEDRONATE SODIUM,2010,4
